# object_id, ra, dec, hsc_id
43158872227075930,149.785873066731,2.172944087619354,936793
43158739083095929,150.06032631872543,2.4574498920875167,936290
43158859342179207,149.8141937022684,1.6918980247454978,936599
43158743378066243,150.04597298147712,2.632757708395668,936363
43159138515054708,149.54879359873942,1.919689523394624,937646
43158739083097181,150.05324207467768,2.4826993180638453,936296
43158880817015724,149.8138347085814,2.6109064926604733,936962
43158584464270493,150.18868236277703,1.6457412936410842,935475
43158730493156191,150.11193163031754,2.0062069081489966,936129
43158584464270527,150.18983138816895,1.6461352007390833,935476
