# object_id, ra, dec, hsc_id
43158455615249981,150.4837703856069,2.010544017902078,935043
43158601644140603,150.2963918103949,2.415366221129112,935741
43158189327284664,150.7596471775475,2.44375898569168,934178
43158193622254736,150.7206933872381,2.6936342804939613,934274
43158455615251404,150.3676321537601,2.033151679765109,935054
43158318176294898,150.66457590635275,1.9947457943139368,934490
43158322471261442,150.6370845737814,2.166633953558792,934545
43158593054206788,150.18376715935932,2.029223701763184,935594
43153649546848316,149.4464080156395,2.2195444822375743,930564
43158318176294438,150.65601684851654,1.986305235646487,934486
43158202212178382,150.76929410934434,2.8912347359137875,934345
43158996781127704,149.721374282059,1.6246321657614424,937166
43158464205189678,150.41591349875677,2.3979753931639216,935159
43158464205189679,150.4175525760542,2.4001403766694853,935160
43159138515050771,149.5214889387586,1.8502392321895305,937636
43158859342174406,149.89192988240174,1.618810606548495,936569
43158734788127109,150.0575394988737,2.205476241658644,936196
43159001076095201,149.61527479567889,1.7948534099496534,937215
43153640956908997,149.5040424807505,1.8089726693640333,930492
43158859342181001,149.93231818378175,1.7276040259149574,936610
43158464205191146,150.46610980263026,2.4177834641616887,935171
43158447025315019,150.360391405315,1.6346938797947612,934927
43158743378070019,150.1085104393844,2.680739513072231,936395
43158180737345451,150.72216339531113,2.0394823105584354,934082
43158588759235605,150.17171708265641,1.7964036503557352,935528
43158322471266499,150.59031195662203,2.242265289436548,934575
43153640956917326,149.43360490619267,1.9446947890227344,930516
43158876522042958,149.86685356381057,2.3326595948693143,936862
43158593054205658,150.17587932447438,2.0103635139964746,935590
43158455615247124,150.45134219383525,1.9730830967939064,935024
43158859342181639,149.83734514782023,1.7379269428875008,936616
43158193622246074,150.78312919071126,2.5595084230850023,934222
43158726198190520,150.03099213770682,1.8687988105899684,936077
43159018255963394,149.76097588855015,2.5462674715085374,937456
43158459910214555,150.34590631898436,2.147517624339396,935100
43158605939108301,150.23080260827862,2.5781694826489496,935814
43153636661947951,149.49107836479047,1.730302194383931,930481
43158588759244899,150.31235383565704,1.9452805214431137,935565
43158197917211965,150.767393615929,2.7390523382661263,934297
43153649546851808,149.45750369121652,2.2735781211164827,930571
43158176442380947,150.72853879272162,1.898561937537634,934045
43159005371060539,149.73254988303728,1.9528065768868803,937285
43159151399950380,149.50584293005105,2.3706532906302007,937713
43158468500153800,150.390662470222,2.5498802558126217,935230
43158455615251507,150.48144695850976,2.036922097051995,935055
43158747673024712,150.04104987635534,2.7075128124683685,936423
43158459910224469,150.34141386435684,2.281027580985844,935132
43158189327284411,150.7631346484862,2.438777793799174,934176
43158743378070241,150.10821708694962,2.677719447473196,936398
43158326766240181,150.5875315960933,2.4753342981810684,934683
