# object_id, ra, dec, hsc_id
43158464205190978,150.41441971544398,2.442237420483953,935169
43158464205190502,150.41364348196498,2.4074824493674547,935166
43158739083088916,150.12179985608125,2.3480644257862475,936245
43158189327284670,150.7553947614431,2.4422224872151177,934179
43158747673031137,150.0111218137036,2.793599140745176,936452
43158189327277219,150.75551910191618,2.351986995600966,934131
43158193622252432,150.77869030062814,2.64715395515986,934263
43158593054203743,150.16068802137355,1.9928134721616333,935579
43158588759240774,150.16366871558463,1.8787729482210924,935550
43158464205190382,150.37921283460216,2.4116104481420555,935164
