# object_id, ra, dec, cosmos_hsc_id
43158455615257544,150.51021828673115,2.1178854175003328,1088
43158455615251992,150.46970345616626,2.0424958325669920,1052
43158739083087680,150.03821012502027,2.3341299981045966,2089
43158867932115272,149.83744341186204,2.0936465010625480,2528
43158614529040256,150.31370572181032,2.8956655690941111,1820
43158726198167584,150.09141516853339,1.8035681013276041,1894
43158605939112568,150.15537508240988,2.6429926205258729,1737
43153645251885000,149.48604623645602,2.1220538521358989,80
43158876522029208,149.91868573190618,2.4772371167192841,2633
43158996781134000,149.71754627275476,1.7380950703632312,2904
43158880817014080,149.95181281826981,2.5864108157806380,2725
43158172147408016,150.73289427783288,1.6251243070122754,261
43158996781126208,149.77729303877774,1.6033833653572895,2867
43158863637145848,149.92361649768461,1.8831197727722355,2453
43158322471263792,150.64573637756055,2.2023440419398104,616
43158721903220112,150.13519953198798,1.6287205917996668,1837
43158605939083272,150.15684416115457,2.5425699785129043,1687
43158747673025304,150.09374218638069,2.7135416929813205,2278
43159026845898656,149.69466712181270,2.8992009045596117,3272
43158734788135808,150.14893272638858,2.3225093476486878,2083
43159009666030712,149.60098397217408,2.1680539689563254,3059
43158721903220416,150.02741528753606,1.6365845698542014,1838
43158721903219616,150.06479671053225,1.6203421157133795,1832
43158863637140416,149.91052744846468,1.7865151908727688,2423
43158721903219616,150.13909844294059,1.6197343695352022,1833
43158885111979408,149.93375976858886,2.7417176040828188,2797
43153662431749472,149.41943907134345,2.8038986981677985,208
43158459910215376,150.50855961003381,2.1604937799468016,1102
43158584464270840,150.29520025795861,1.6469380767289117,1380
43158996781131264,149.72196554109590,1.6889950143722632,2890
43153658136783640,149.48959514643556,2.6555966954400727,192
43158876522042544,149.91976871629925,2.3274293048232795,2635
43158601644138536,150.17865121718364,2.3864755707372161,1635
43158721903220888,150.06105910282210,1.6451528077081732,1843
43158739083088600,150.04179131331853,2.3460447735998402,2095
43158584464274920,150.18991204659028,1.7064896732670478,1405
43158739083072808,150.14358886550298,2.4343947620302191,2084
43158743378069928,149.98464196171190,2.6790726510193217,2244
43158747673031456,150.10781303327630,2.7992265015659568,2306
43158751967993312,150.00064003231910,2.8987128124895958,2340
43158739083090360,150.03282194374043,2.3777538411658563,2100
43153649546843616,149.49095995318189,2.1525089310553627,84
43153640956908792,149.48164545922859,1.8033754060506195,19
43158734788124808,150.05753305100373,2.1747795828419161,2035
43158318176299736,150.69675893844050,2.0735169543076442,566
43158721903227384,150.10549280110646,1.7586150127193323,1893
43153645251884688,149.47850001857594,2.1188656338307088,78
43158455615252184,150.41098325873776,2.0646243021651283,1054
43159009666033912,149.61757546286373,2.2155632292260234,3075
43158588759244000,150.25831100316918,1.9227311908784848,1461
43158730493163904,150.12840684392518,2.1271066962161576,2018
43158739083094448,150.12682241180133,2.4358400232986970,2128
43158605939110400,150.27046721030041,2.6079571996960564,1726
43158601644143080,150.17428175816161,2.4578845909787370,1661
43158610234070824,150.21175573220714,2.7181804210141265,1769
43158588759240608,150.24998930006737,1.8733646401701900,1449
43158739083091472,149.99864740006799,2.3893152218651634,2106
43158996781126320,149.71755147419282,1.6048961381250155,2869
43159001076102576,149.60051076615954,1.9060273962531209,2975
